no,judul_inovasi,pemda,admin_opd,inisiator,nama_inisiator,bentuk_inovasi,jenis,asta_cipta,urusan_utama,urusan_lain_yang_beririsan,kematangan,tahapan_inovasi,tanggal_input,tanggal_penerapan,tanggal_pengembangan,video,link_video,label_kematangan,lat,lon
149,AJI SAKA (AJAR MENGAJI SEMAI AKHLAK DAN KARAKTER ANAK),Provinsi Jawa Timur,SMAN 1 BANGOREJO BANYUWANGI (iga2024.sman1.bangorejo.banyuwangi),ASN,"Nur Ahmadi, S.Pd, M.M",Inovasi Daerah Lainnya Sesuai Dengan Urusan Pemerintahan Yang Menjadi Kewenangan Daerah,Non Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Pendidikan,Perencanaan,102.0,Penerapan,2024-07-30,2022-12-01,2023-01-02,Ada,https://static2024.tuxedovation.com/cb847638b0d52f2c4091ab995995ec34624be42f.mp4,Sangat Inovatif,-8.485286220641369,114.140338736957
150,Jumpa Berlian(Jumat Pagi Bersih-bersih lingkungan) : Membentuk Generasi Peduli Lingkungan,Provinsi Jawa Timur,SMKN 1 PROBOLINGGO (iga2024.smkn1.probolinggo),ASN,"DWI ANGGRAENI, S.Pd., M.Pd.",Inovasi Daerah Lainnya Sesuai Dengan Urusan Pemerintahan Yang Menjadi Kewenangan Daerah,Non Digital,Tidak Diisi,Pendidikan Dan Pelatihan,Tidak Ada,39.0,Penerapan,2024-07-30,2023-02-01,,Ada,https://www.instagram.com/s/aGlnaGxpZ2h0OjE4MDM3Mzc2MTU1NzQ5NDQz?story_media_id=3308992262270934032_31076398218&igsh=MXc1c3ptZzB0ZHQxeQ==,Kurang Inovatif,,
151,INOSIKA ( Inovasi Apilkasi Edukasi ),Provinsi Jawa Timur,SLB THUMB KIDS SCHOOL Kota. Mojokerto (iga2024.thumbkids.mojokerto),Masyarakat,"Akhmad Fatoni, S.Pd",Inovasi Pelayanan Publik,Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Pendidikan,Pendidikan Dan Pelatihan,76.0,Penerapan,2024-07-30,2023-07-03,2024-07-01,Ada,https://youtu.be/TdqFhmD-Bno,Sangat Inovatif,-7.4912702,112.4172659
152,KURASAKI-LISA-MAWADAH,Provinsi Jawa Timur,SMAN 1 GIRI BANYUWANGI (iga2024.sman1.giri.banyuwangi),ASN,"i Ketut Renen,S.Pd, M.Si",Inovasi Daerah Lainnya Sesuai Dengan Urusan Pemerintahan Yang Menjadi Kewenangan Daerah,Non Digital,"Memperkuat penyelarasan kehidupan yang harmonis dengan lingkungan, alam, dan budaya, serta peningkatan toleransi antarumat beragama untuk mencapai masyarakat yang adil dan makmur.",Pendidikan,Lingkungan Hidup,61.0,Penerapan,2024-07-31,2023-11-01,,Ada,https://youtu.be/8I4FBeSCdvw,Inovatif,,
153,SURUH MANUFACTURING MODEL ( SMM ),Provinsi Jawa Timur,SMK NEGERI 1 SURUH TRENGGALEK (iga2024.smkn1.suruh.trenggalek),ASN,"NING FADLILLAH, S.E., S.Pd., M.Pd",Inovasi Daerah Lainnya Sesuai Dengan Urusan Pemerintahan Yang Menjadi Kewenangan Daerah,Non Digital,Tidak Diisi,Pendidikan,Energi Dan Sumber Daya Mineral,12.0,Penerapan,2024-07-31,2023-10-23,,Ada,https://youtu.be/HeZBcyfmrys?si=EVdtQn_HqkA69QI_,Kurang Inovatif,,
154,E-TATIB (Monitoring Tata Tertib SMKN 1 Probolinggo),Provinsi Jawa Timur,SMKN 1 PROBOLINGGO (iga2024.smkn1.probolinggo),ASN,"DWI ANGGRAENI, S.Pd., M.Pd.",Inovasi Daerah Lainnya Sesuai Dengan Urusan Pemerintahan Yang Menjadi Kewenangan Daerah,Digital,Tidak Diisi,Pendidikan,Pendidikan Dan Pelatihan,0.0,Penerapan,2024-07-31,2023-02-01,,Tidak Ada,-,Kurang Inovatif,,
155,EDUFISH cetak GEMA BENER (Generasi Muda Berjiwa Enterpreneur),Provinsi Jawa Timur,SMKN 1 PRAJEKAN BONDOWOSO (iga2024.smkn1.prajekan.bondowoso),Kepala Daerah,"Drs. Anang Arifandi, S.Pd",Inovasi Pelayanan Publik,Non Digital,Tidak Diisi,Pendidikan,"Kelautan Dan Perikanan,Pendidikan Dan Pelatihan",44.0,Inisiatif,2024-07-31,2023-10-10,,Ada,https://static2024.tuxedovation.com/8a640b75d25aca2b42e7524d51f195d13b45cd84.png,Kurang Inovatif,,
156,E-TATIB,Provinsi Jawa Timur,SMKN 1 PROBOLINGGO (iga2024.smkn1.probolinggo),ASN,"DWI ANGGRAENI, S.Pd., M.Pd.",Inovasi Daerah Lainnya Sesuai Dengan Urusan Pemerintahan Yang Menjadi Kewenangan Daerah,Digital,Tidak Diisi,Pendidikan,"Tenaga Kerja,Komunikasi Dan Informatika,Pendidikan Dan Pelatihan",0.0,Penerapan,2024-07-31,2023-02-28,,Tidak Ada,-,Kurang Inovatif,,
157,GTK Creative Camp (GCC),Provinsi Jawa Timur,SMKN 1 PROBOLINGGO (iga2024.smkn1.probolinggo),ASN,Aries Agung Paewei,Inovasi Daerah Lainnya Sesuai Dengan Urusan Pemerintahan Yang Menjadi Kewenangan Daerah,Non Digital,Tidak Diisi,Pendidikan,Pendidikan Dan Pelatihan,58.0,Penerapan,2024-07-31,2023-08-30,,Ada,https://youtu.be/kA9rIs31ucs,Inovatif,,
158,Metaverse Seamolec,Provinsi Jawa Timur,SMKN 1 PROBOLINGGO (iga2024.smkn1.probolinggo),ASN,Andi Wardana,Inovasi Daerah Lainnya Sesuai Dengan Urusan Pemerintahan Yang Menjadi Kewenangan Daerah,Digital,"Meningkatkan lapangan kerja yang berkualitas, mendorong kewirausahaan, mengembangkan industri kreatif, dan melanjutkan pengembangan infrastruktur.",Pendidikan,"Komunikasi Dan Informatika,Pendidikan Dan Pelatihan",95.0,Penerapan,2024-07-31,2024-05-22,,Ada,https://static2024.tuxedovation.com/d000576f9bb9500d0c9e9d0e2717b6b3d93c0049.png,Sangat Inovatif,-7.780962381356546,113.21223995233498
159,Metaverse Axioo Sentra Digital,Provinsi Jawa Timur,SMKN 1 PROBOLINGGO (iga2024.smkn1.probolinggo),ASN,Dwi Anggraeni,Inovasi Daerah Lainnya Sesuai Dengan Urusan Pemerintahan Yang Menjadi Kewenangan Daerah,Non Digital,"Meningkatkan lapangan kerja yang berkualitas, mendorong kewirausahaan, mengembangkan industri kreatif, dan melanjutkan pengembangan infrastruktur.",Pendidikan,"Komunikasi Dan Informatika,Pendidikan Dan Pelatihan",82.0,Penerapan,2024-07-31,2023-02-06,,Ada,"https://youtu.be/4gN7BH_RAso?si=E0fUmpwIIpaIl-DE, https://res4.tuxedovation.com/a2cfb3b5d45b653c84fe05864983f9dcfded14ee.mp4",Sangat Inovatif,-7.780962381356546,113.21223995233498
160,Cinematik IKN Nusantara,Provinsi Jawa Timur,SMKN 1 PROBOLINGGO (iga2024.smkn1.probolinggo),ASN,Gabriel Darren Axl Christian Susanto,Inovasi Daerah Lainnya Sesuai Dengan Urusan Pemerintahan Yang Menjadi Kewenangan Daerah,Digital,"Meningkatkan lapangan kerja yang berkualitas, mendorong kewirausahaan, mengembangkan industri kreatif, dan melanjutkan pengembangan infrastruktur.",Pendidikan,"Komunikasi Dan Informatika,Pendidikan Dan Pelatihan",83.0,Penerapan,2024-07-31,2023-09-07,,Ada,https://static2024.tuxedovation.com/2cb6225ee6dfa9ce5b73d7b360a5e86bdd51a84f.mp4,Sangat Inovatif,2.832422558888594,117.40071845222185
161,"""BES-Q"" (BERSIH ENTREPRENEUR SEHAT DAN QOLBU)",Provinsi Jawa Timur,SMAN 1 JENANGAN (iga2024.sman.1.jenangan),OPD,"Titik Ruwaidah, S.Pd., M.Pd.",Inovasi Pelayanan Publik,Non Digital,Tidak Diisi,Pendidikan,Pendidikan Dan Pelatihan,92.0,Penerapan,2024-07-31,2023-03-03,2023-07-21,Ada,https://static2024.tuxedovation.com/26eb697e390e8466ba3eecc19e61f09ecdbe9c35.mp4,Sangat Inovatif,,
162,Kakus Basi (kelas Khusus Bakat Siswa) dalam Implementasi Kurikulm Merdeka,Provinsi Jawa Timur,SMAN 1 NGRAYUN (iga2024.sman.1.ngrayun),ASN,"HERI SUBOWO, M.Pd",Inovasi Pelayanan Publik,Non Digital,Tidak Diisi,Pendidikan,Tidak Ada,66.0,Penerapan,2024-07-31,2022-08-01,2023-08-07,Ada,https://static2024.tuxedovation.com/5146a1850c6b2dcc5adb0d6dcb272ff518ae8d56.mp4,Sangat Inovatif,,
163,"BERDASI ""Bertumbuhnya Daun Literasi untuk Mewujudkan Profil Pelajar Pancasila""",Provinsi Jawa Timur,"SMA NEGERI 1 MUNJUNGAN, KAB. TRENGGALEK  (jatimprov.dispendik.sman1munjungan)",ASN,ACH. SYAIFUDDIN dan NUR AHMADI,Inovasi Pelayanan Publik,Non Digital,Tidak Diisi,Pendidikan,Penelitian Dan Pengembangan,0.0,Penerapan,2024-07-31,2023-09-11,2023-10-09,Tidak Ada,-,Kurang Inovatif,,
164,JU-ON (Jurnal Online),Provinsi Jawa Timur,SMKN 2 Tulungagung (iga2024.smkn.2.tulungagung),ASN,"ENDAH SUSILOWATI, M.Pd.",Inovasi Pelayanan Publik,Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Pendidikan,Pendidikan Dan Pelatihan,107.0,Penerapan,2024-08-01,2023-11-20,2023-12-11,Ada,https://youtu.be/1mGBQEQx45c,Sangat Inovatif,-8.068518162315332,111.95321202142658
165,SAKA GURU LITERASI (SATU KARYA GURU SATU LITERASI),Provinsi Jawa Timur,SMKN 1 PONOROGO  (jatimprov.dispendik.smkn1ponorogo),ASN,"SURYANTO, S.Pd.",Inovasi Daerah Lainnya Sesuai Dengan Urusan Pemerintahan Yang Menjadi Kewenangan Daerah,Non Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Pendidikan,"Komunikasi Dan Informatika,Perpustakaan,Pendidikan Dan Pelatihan",101.0,Penerapan,2024-08-02,2023-07-07,,Ada,https://youtu.be/WYjPO9kbCN0?si=m6jCoKL6wKhDYtbC,Sangat Inovatif,-7.871900737497542,111.4640394786149
166,VHSONE DIGITAL LIBRARY,Provinsi Jawa Timur,SMKN 1 Tuban (iga2024.smkn1.tuban),ASN,"SUCIPTO, S.Pd",Inovasi Pelayanan Publik,Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Pendidikan,Perpustakaan,101.0,Penerapan,2024-08-02,2023-02-20,,Ada,https://static2024.tuxedovation.com/948811efc15dab675149506277feb00353d46afa.mp4,Sangat Inovatif,-6.900868319808196,112.04442518111017
167,SKANEPA E-LAERNING BERBASIS GOOGLE SITES SEBAGAI MODA PEMBELAJARAN KOMBINASI (BLENDED LEARNING),Provinsi Jawa Timur,SMK NEGERI 1 PANGGUL TRENGGALEK (iga2024.smkn1.panggul.trenggalek),ASN,"ENDANG PURNAWATI, S.Pd.",Inovasi Pelayanan Publik,Digital,Tidak Diisi,Pendidikan,Tidak Ada,0.0,Penerapan,2024-08-02,2023-06-01,,Tidak Ada,-,Kurang Inovatif,,
168,STUNTING APS,Provinsi Jawa Timur,admin.jawa.timur (iga2025.provinsi.jawa.timur),OPD,"Dr. ANDRIYANTO, S.H., M.Kes",Inovasi Pelayanan Publik,Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Kesehatan,Pangan,111.0,Penerapan,2024-08-02,2023-07-01,,Ada,https://static2024.tuxedovation.com/e99c2377f800c5e7799e2607f6efbd9c091f3b79.mp4,Sangat Inovatif,-7.329808972382923,112.72701006680437
169,"HERO (Holiday, Education(Farm), Religious, Outbond",Provinsi Jawa Timur,SMA Negeri 1 Jombang (iga2024.sma.n.1.jombang),ASN,"Yustiningsih, S.Pd., M.T., dan Candranofani Adityawan, S.Pd.",Inovasi Daerah Lainnya Sesuai Dengan Urusan Pemerintahan Yang Menjadi Kewenangan Daerah,Non Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Pendidikan,"Kesehatan,Pemberdayaan Perempuan Dan Pelindungan Anak,Pangan,Lingkungan Hidup,Pemberdayaan Masyarakat Dan Desa,Koperasi, Usaha Kecil, Dan Menengah,Pariwisata,Pertanian,Kehutanan,Penelitian Dan Pengembangan",96.0,Penerapan,2024-08-03,2023-12-21,,Ada,https://www.youtube.com/watch?v=MFhFZpiAOlQ,Sangat Inovatif,-7.555703903729634,112.23392876680657
170,PELPOKABAR- TEMPEL POLA KATA BERGAMBAR UNTUK MEDIA MEMBACA,Provinsi Jawa Timur,SLB BUDI MULIA (iga2024.slb.budi.mulia),Masyarakat,Putrri Dwi Ardhanariswari,Inovasi Pelayanan Publik,Non Digital,Tidak Diisi,Pendidikan,Pendidikan Dan Pelatihan,40.0,Penerapan,2024-08-03,2023-12-20,,Tidak Ada,-,Kurang Inovatif,,
171,PROGRAM SEKOLAH NUSANTARA,Provinsi Jawa Timur,SMAN PURWOHARJO BANYUWANGI (iga2024.sman.purwoharjo.banyuwangi),ASN,"HARI SURYONO, M.Pd",Inovasi Pelayanan Publik,Non Digital,"Memperkuat penyelarasan kehidupan yang harmonis dengan lingkungan, alam, dan budaya, serta peningkatan toleransi antarumat beragama untuk mencapai masyarakat yang adil dan makmur.",Pendidikan,"Pemberdayaan Masyarakat Dan Desa,Kebudayaan,Pariwisata",0.0,Penerapan,2024-08-04,2022-07-01,2023-07-03,Tidak Ada,-,Kurang Inovatif,-8.47783337495648,114.22912127008698
172,TUMPAH NUSA (Kartu Rempah Nusantara): Media Pembelajaran untuk Membuka Gerbang Kreativitas Pengolahan makanan Herbal,Provinsi Jawa Timur,"SMKN 2 DONOREJO, KAB. PACITAN  (jatimprov.dispendik.smkn2donorejo)",ASN,"YULIFATIN, S.Pd., MM.Pd",Inovasi Daerah Lainnya Sesuai Dengan Urusan Pemerintahan Yang Menjadi Kewenangan Daerah,Non Digital,Tidak Diisi,Pendidikan,Pangan,98.0,Uji Coba,2024-08-04,2022-10-18,2023-10-18,Ada,https://static2024.tuxedovation.com/9c7a233608463e6f530877ccbaa050f367479780.mp4,Sangat Inovatif,,
173,Es Krim Kulit Kopi Q-Ta Barokah,Provinsi Jawa Timur,SMA Negeri 1 Jombang (iga2024.sma.n.1.jombang),ASN,"Yustiningsih, S.Pd.,M.T, dan Ibnu Sina",Inovasi Daerah Lainnya Sesuai Dengan Urusan Pemerintahan Yang Menjadi Kewenangan Daerah,Non Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Pendidikan,"Kesehatan,Pangan,Lingkungan Hidup,Pemberdayaan Masyarakat Dan Desa,Koperasi, Usaha Kecil, Dan Menengah,Pertanian,Penelitian Dan Pengembangan",95.0,Penerapan,2024-08-04,2023-09-07,2023-10-07,Ada,https://www.youtube.com/watch?v=VjzMK3H3Pc0,Sangat Inovatif,-7.555709221559722,112.2339609522849
174,BLUTY Es Krim Bunga Telang,Provinsi Jawa Timur,SMA Negeri 1 Jombang (iga2024.sma.n.1.jombang),ASN,"Yustiningsih, S.Pd., M.T., Kaseri, S.Pd., M.M. M.Pd.",Inovasi Daerah Lainnya Sesuai Dengan Urusan Pemerintahan Yang Menjadi Kewenangan Daerah,Non Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Pendidikan,"Kesehatan,Pangan,Lingkungan Hidup,Koperasi, Usaha Kecil, Dan Menengah,Pertanian,Pendidikan Dan Pelatihan,Penelitian Dan Pengembangan",91.0,Penerapan,2024-08-04,2023-06-15,2023-07-15,Ada,"BLUTY, Es Krim Bunga Telang dari Halaman Sekolah, https://www.youtube.com/watch?v=mv4OHxPdj8o",Sangat Inovatif,-7.555709221559722,112.2339609522849
175,SHAFA SCHOOL,Provinsi Jawa Timur,SMAN 1 PLAOSAN (iga2024.sman.1.plaosan),ASN,"Nunung Mintarsih, S.Pd.,M.Hum.",Inovasi Pelayanan Publik,Non Digital,Tidak Diisi,Pendidikan,Tidak Ada,59.0,Penerapan,2024-08-04,2023-03-13,2023-06-05,Ada,https://youtu.be/znOrqzCUmBA,Inovatif,,
177,EKSOTIKA MURAL,Provinsi Jawa Timur,SMA NEGERI 1 DURENAN TRENGGALEK (iga2024.sman1.durenan.trenggalek),ASN,"KURNIA SEPTA ERWIDA, S.Pd.,M.Sn",Inovasi Pelayanan Publik,Non Digital,Tidak Diisi,Pendidikan,Lingkungan Hidup,61.0,Penerapan,2024-08-05,2023-09-01,2023-11-01,Ada,https://youtu.be/3WH4WlBoEOg,Inovatif,,
179,PENGEMBANGAN BUDAYA POSITIF DISIPLIN  BERBASIS SI-PEDAS,Provinsi Jawa Timur,SMKN TAKERAN (iga2024.smkn.takeran),Kepala Daerah,Yanna Sofa. S.Kom,Inovasi Pelayanan Publik,Digital,Tidak Diisi,Pendidikan,Lingkungan Hidup,56.0,Inisiatif,2024-08-05,2023-05-05,,Ada,https://youtu.be/DyHvGnMuiwM,Inovatif,,
180,FRIENDLY,Provinsi Jawa Timur,SMAN 1 BANYUWANGI (iga2024.sman1.banyuwangi),ASN,RATNA MEITARINI,Inovasi Daerah Lainnya Sesuai Dengan Urusan Pemerintahan Yang Menjadi Kewenangan Daerah,Non Digital,"Meningkatkan lapangan kerja yang berkualitas, mendorong kewirausahaan, mengembangkan industri kreatif, dan melanjutkan pengembangan infrastruktur.",Pendidikan,"Kesehatan,Pendidikan Dan Pelatihan",103.0,Penerapan,2024-08-05,2023-05-03,2023-09-09,Ada,https://youtu.be/NDC_mH3F2dk,Sangat Inovatif,-8.228207888510195,114.37130402208881
181,"JOS DASIH (Jumat Olahraga, Sarapan pagi, minum tablet tambah DArah dan berSIH lingkungan)",Provinsi Jawa Timur,SMA NEGERI 1 DONGKO TRENGGALEK (iga2024.sman1.dongko.trenggalek),ASN,"KHABIB SHOLEH, S.Pd., M.Pd.",Inovasi Daerah Lainnya Sesuai Dengan Urusan Pemerintahan Yang Menjadi Kewenangan Daerah,Non Digital,Tidak Diisi,Pendidikan,Pendidikan Dan Pelatihan,64.0,Penerapan,2024-08-06,2023-09-10,2023-10-10,Ada,https://drive.google.com/file/d/1-SumOXOagBWJx5nRwStlPl0d_j66U2VX/view?usp=sharing,Inovatif,,
182,SEKOLAH BEBAS BULLY,Provinsi Jawa Timur,smkn 1 kamal (iga2024.smkn.1.kamal),ASN,"PINKY HIDAYATI, S.Psi., M.Psi",Inovasi Pelayanan Publik,Digital,Tidak Diisi,Pendidikan,"Ketenteraman, Ketertiban Umum, Dan Pelindungan Masyarakat,Sosial",26.0,Penerapan,2024-08-06,2023-12-01,2024-07-15,Ada,https://youtu.be/IT3-HFYAT_Q,Kurang Inovatif,,
183,SANS-SRF : Mengubah Limbah Pembalut dan Popok Bayi menjadi Pupuk Slow-Release berbasis Urea yang dimodifikasi dengan Karbon Aktif sebagai Coating Agent,Provinsi Jawa Timur,SMAN 3 PONOROGO (iga2024.sman.3.ponorogo),ASN,"Sasmito Pribadi, Siti Nurwaqidah, Alysa Virnanda Abidin, Nadhif Dwi Saputra, Aguk Efendi, Layla Septy, Arief Alhadi Nugroho, Andik Surya Danirisko",Inovasi Daerah Lainnya Sesuai Dengan Urusan Pemerintahan Yang Menjadi Kewenangan Daerah,Non Digital,Tidak Diisi,Pendidikan,Tidak Ada,61.0,Penerapan,2024-08-06,2023-12-24,2024-02-07,Ada,https://youtu.be/3nbRZKNhgus?si=uncnNzuAmUc6Ed4L,Inovatif,,
184,Inovasi Olahan Produk Ekstrak Apium Graveolens Sebagai Apiuma (Aromatherapy) dan Nutrigum (Gummy Nutrition) Menggunakan Metode Guided Imagery Therapy dan Oral dalam Upaya Menurunkan Tingkat Academic Burnout pada Siswa SMA,Provinsi Jawa Timur,SMAN 3 PONOROGO (iga2024.sman.3.ponorogo),ASN,"Sasmito Pribadi, Siti Nurwaqidah, Layla Septy Puspita, Nadhif Dwi Saputra, Arief Alhadi Nugroho, Aguk Efendi, Andik Surya Danirisko, Salsabila Amalia Shaliha",Inovasi Daerah Lainnya Sesuai Dengan Urusan Pemerintahan Yang Menjadi Kewenangan Daerah,Non Digital,Tidak Diisi,Pendidikan,Tidak Ada,12.0,Penerapan,2024-08-06,2023-10-15,,Ada,https://youtu.be/A3d26u_mU8c,Kurang Inovatif,,
185,Formulasi Limbah Rambut Jagung (Corn silk Zea mays) menjadi Krim Zyseco (Tabir Surya) untuk Mengurangi Radikal Bebas dan Biomosti Biolarvicida Aedes aegypti,Provinsi Jawa Timur,SMAN 3 PONOROGO (iga2024.sman.3.ponorogo),ASN,"Sasmito Pribadi, Siti Nurwaqidah, Layla Septy Puspita, Nadhif Dwi Saputra, Arief Alhadi Nugroho, Aguk Efendi, Andik Surya Danirisko",Inovasi Daerah Lainnya Sesuai Dengan Urusan Pemerintahan Yang Menjadi Kewenangan Daerah,Non Digital,Tidak Diisi,Pendidikan,Tidak Ada,61.0,Penerapan,2024-08-06,2023-10-15,2023-11-29,Ada,https://youtu.be/ScaBsunNiPg,Inovatif,,
186,"""AUGYTRIC: Technological Innovation in Converting Sound Energy from Factory Industrial Machines through Piezoelectric Sensors and Electromagnetic Devices into Electrical Energy""",Provinsi Jawa Timur,SMAN 3 PONOROGO (iga2024.sman.3.ponorogo),ASN,"Sasmito Pribadi, Siti Nurwaqidah, Alysa Virnanda Abidin, Nadhif Dwi Saputra, Aguk Efendi, Layla Septy, Arief Alhadi Nugroho, Andik Surya Danirisko",Inovasi Daerah Lainnya Sesuai Dengan Urusan Pemerintahan Yang Menjadi Kewenangan Daerah,Non Digital,Tidak Diisi,Pendidikan,Tidak Ada,71.0,Penerapan,2024-08-06,2023-12-29,2024-01-11,Ada,https://youtu.be/HqZrjXs7JC4,Sangat Inovatif,,
187,SEKOLAH BERBASIS SAFETY,Provinsi Jawa Timur,SMKN 3 TUBAN (jatimprov.dispendik.smkn3tuban),ASN,"SHOLAHUDDIN, ST., M.Si",Inovasi Daerah Lainnya Sesuai Dengan Urusan Pemerintahan Yang Menjadi Kewenangan Daerah,Non Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Pendidikan,Pendidikan Dan Pelatihan,93.0,Penerapan,2024-08-07,2023-03-08,2023-08-02,Ada,https://static2024.tuxedovation.com/37b4fa9fc595ce73329f4793e329cd6946548a35.mp4,Sangat Inovatif,-6.860288956781138,111.92851789460168
188,"SMEKGATA PUWAS DAGING “SMK NEGERI 3 TUBAN SEBAGAI PUSAT PENGEMBANGAN WEDANG SERBUK DARI DAUN, REMPAH, DAN BUNGA KERING”",Provinsi Jawa Timur,SMKN 3 TUBAN (jatimprov.dispendik.smkn3tuban),ASN,"JAHIDUL UMAM, S.Si., Gr.",Inovasi Daerah Lainnya Sesuai Dengan Urusan Pemerintahan Yang Menjadi Kewenangan Daerah,Non Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Pendidikan,Pendidikan Dan Pelatihan,89.0,Penerapan,2024-08-07,2023-11-13,2024-02-05,Ada,https://res4.tuxedovation.com/706091e53f5603d5478dec93c4a122b99c1cbe68.mp4,Sangat Inovatif,-6.86027830475968,111.92849643692968
189,GALERY DIGITAL,Provinsi Jawa Timur,SMPLB YPABK MUNCAR BANYUWANGI (jatimprov.dispendik.smplb.ypabk.muncar.banyuwangi),Masyarakat,LATU METHA MARYA MAHARDIKA P,Inovasi Daerah Lainnya Sesuai Dengan Urusan Pemerintahan Yang Menjadi Kewenangan Daerah,Teknologi,Tidak Diisi,"Koperasi, Usaha Kecil, Dan Menengah",Pendidikan Dan Pelatihan,73.0,Penerapan,2024-08-07,2023-06-01,,Tidak Ada,-,Sangat Inovatif,,
190,SISTEM APLIKASI E-LEARNING UNTUK MENINGKATKAN KEMAMPUAN LITERASI DAN NUMERASI DIGITAL SISWA SMA NEGERI 1 KEMBANGBAHU,Provinsi Jawa Timur,SMAN 1 Kembangbahu lamongan (iga2024.sman1.kembangbahu.lamongan),ASN,"MUHTAROM, S.Pd., M.Si.",Inovasi Pelayanan Publik,Teknologi,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Pendidikan,Tidak Ada,91.0,Penerapan,2024-08-07,2023-08-07,,Ada,https://drive.google.com/file/d/1nDsJaghp6M72tjxqI_NilF7r5I8ON_gx/view?usp=sharing,Sangat Inovatif,-7.230281826978796,112.3764853062474
191,DIAMOND PARENTS GRUB,Provinsi Jawa Timur,SDLB YPABK MUNCAR Banyuwangi (iga2024.sdlb.ypabk.muncar.banyuwangi),ASN,"Ririn Kurnia Dewi, S.Pd",Inovasi Pelayanan Publik,Non Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Pendidikan,Tidak Ada,92.0,Penerapan,2024-08-07,2023-02-06,2023-04-05,Ada,https://youtu.be/2_uATAvHSaY?si=O3MqOgap2SBuQKcU,Sangat Inovatif,-8.150984695606722,114.38712559442541
192,JOOSSS,Provinsi Jawa Timur,SMK NEGERI WONOSALAM JOMBANG (iga2024.smkn.wonosalam.jombang),ASN,"Naili Shofiyah, S.Pd.",Inovasi Pelayanan Publik,Digital,Tidak Diisi,"Koperasi, Usaha Kecil, Dan Menengah",Pendidikan Dan Pelatihan,0.0,Penerapan,2024-08-07,2024-08-07,,Tidak Ada,-,Kurang Inovatif,,
194,PENGEMBANGAN LITERASI DAN NUMERASI SISWA BERKEBUTUHAN KHUSUS,Provinsi Jawa Timur,SLB MUJI UTOMO (iga2024.slb.muji.utomo),Masyarakat,Mirna Binti Awalia,Inovasi Pelayanan Publik,Non Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Pendidikan,Perpustakaan,76.0,Penerapan,2024-08-07,2023-11-30,,Ada,https://youtu.be/W6tyzinR_w0,Sangat Inovatif,-8.046053036567129,112.31234790811315
